id,text,label,category,risk_score_expected,language_style,platform,has_url,has_phone,has_bank,has_otp,has_money,has_urgency,has_reward,has_job,text_length,noise_type,expected_reason
33,กดลิงก์รับเงินคืนค่าธรรมเนียมการศึกษา tu-form.example.invalid 🙏👍,scam,refund_scam,0.88,casual,SMS,1,0,0,0,1,0,1,0,64,emoji,มีลิงก์หรือการชวนคลิกลิงก์; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
34,งานออนไลน์รายได้สูงมาก ไม่ต้องสัมภาษณ์ แค่ทักแชท ✨🔥,suspicious,job_risk,0.68,emoji,SMS,0,0,0,0,1,0,0,1,51,emoji,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีบริบทสมัครงาน/รายได้; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
35,เจ้าหน้าที่มหาลัยขอ username password เพื่อตรวจสอบสถานะ 😅👍,scam,impersonation,0.83,slang,SMS,0,0,0,0,0,0,0,0,58,emoji,
36,คุณได้รับสิทธิ์ทุนพิเศษ โอนค่าดำเนินการ 1000 บาทก่อนรับทุน,scam,fake_scholarship,0.88,slang,Email,0,0,0,0,1,0,1,0,58,none,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
37,บัญชีคุณถูกระงับ กรุณายืนยันตัวตนทันทีที่ [URL] ✅,scam,phishing,0.87,short_message,TU Marketplace,1,0,1,1,0,1,0,0,49,emoji,พบคำเกี่ยวกับ OTP/ยืนยันตัวตน; มีลิงก์หรือการชวนคลิกลิงก์; มีคำเร่งเร้า
38,แอดมินคณะขอค่าจองสิทธิ์สอบ โอนมาที่ บัญชี xxx123 ภายในวันนี้ 🙏⚠️,scam,tu_scam,0.97,slang,Web Form,0,0,1,0,1,1,0,0,64,emoji,มีคำเร่งเร้า; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
39,มีคนจองหลายคน ถ้าเอาโอนมัดจำมาก่อนได้เลย ✨💬,suspicious,marketplace_risk,0.57,slang,Email,0,0,0,0,1,0,0,0,43,emoji,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
40,อ้างว่าเป็นรุ่นพี่คณะ ขอให้โอนเงินช่วยจองสิทธิ์ 😅⚠️,suspicious,tu_scam_risk,0.59,emoji,Web Form,0,0,0,0,1,0,0,0,51,emoji,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
41,อ้างว่าเป็นรุ่นพี่คณะ ขอให้โอนเงินช่วยจองสิทธิ์ ✅,suspicious,tu_scam_risk,0.75,casual,TU Marketplace,0,0,0,0,1,0,0,0,49,emoji,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
42,ทักไลน์อย่างเดียวครับ ไม่ค่อยตอบในกลุ่ม 💸⚠️,suspicious,marketplace_risk,0.66,short_message,IG DM,0,0,0,0,0,0,0,0,43,emoji,มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
43,ราคาถูกกว่าปกติมาก แต่ไม่ให้วิดีโอคอลดูของ 🥺👍,suspicious,marketplace_risk,0.64,thai_english_mix,Email,0,0,0,0,0,0,0,0,45,emoji,มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
44,Your account has been suspended verify now forms.example.invalid/fake pls,scam,phishing,0.86,formal,IG DM,1,0,0,1,0,1,0,0,73,thai_english_mix,พบคำเกี่ยวกับ OTP/ยืนยันตัวตน; มีลิงก์หรือการชวนคลิกลิงก์; มีคำเร่งเร้า
45,พัสดุติดปัญหา ชำระค่าธรรมเนียมที่ bit.ly/example_fake เพื่อรับของ verify pls,scam,delivery_scam,0.99,slang,Facebook Group,1,0,0,1,0,0,0,0,76,thai_english_mix,พบคำเกี่ยวกับ OTP/ยืนยันตัวตน; มีลิงก์หรือการชวนคลิกลิงก์
46,Your account has been suspended verify now bit.ly/example_fake DM me,scam,phishing,0.82,emoji,LINE,1,0,0,1,0,1,0,0,68,thai_english_mix,พบคำเกี่ยวกับ OTP/ยืนยันตัวตน; มีลิงก์หรือการชวนคลิกลิงก์; มีคำเร่งเร้า
47,ระบบ TU แจ้งเตือน ให้ update password ผ่าน tu-form.example.invalid ด่วน 😅,scam,phishing,0.98,casual,TU Marketplace,1,0,0,0,0,1,0,0,73,emoji,มีลิงก์หรือการชวนคลิกลิงก์; มีคำเร่งเร้า
48,มีใครขายชีท SC135 บ้างครับ 😅,normal,tu_general,0.25,short_message,TU Marketplace,0,0,0,0,0,0,0,0,28,emoji,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
49,คลิกลิงก์นี้เพื่อยืนยันบัญชีนักศึกษา forms.example.invalid/fake 💸😅,scam,phishing,0.98,thai_english_mix,Discord,1,0,1,0,0,0,0,0,66,emoji,มีลิงก์หรือการชวนคลิกลิงก์
50,กดลิงก์รับเงินคืนค่าธรรมเนียมการศึกษา bit.ly/example_fake line: @fakeid,scam,refund_scam,0.98,casual,X/Twitter,1,0,0,0,1,0,1,0,71,none,มีลิงก์หรือการชวนคลิกลิงก์; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
51,หอพักแถวเชียงรากเดือนละไม่เกิน 4000 มีแนะนำไหม 🙏💬,normal,tu_general,0.12,formal,X/Twitter,0,0,0,0,0,0,0,0,49,emoji,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
52,มีคนขอรหัสยืนยัน บอกว่าเป็นแอดมินกลุ่ม ส่งในกลุ่มได้เลย,suspicious,otp_risk,0.56,thai_english_mix,TU Marketplace,0,0,0,1,0,0,0,0,55,none,พบคำเกี่ยวกับ OTP/ยืนยันตัวตน; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
53,ใครเจอบัตรนักศึกษาที่ คณะวิทย์ ทักมาหน่อยครับ now,normal,tu_general,0.16,emoji,SMS,0,0,0,0,0,1,0,0,49,thai_english_mix,มีคำเร่งเร้า; บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
54,กดลิงก์รับเงินคืนค่าธรรมเนียมการศึกษา  tu-form.example.invalid ,scam,refund_scam,0.83,casual,Email,1,0,0,0,1,0,1,0,64,spacing_noise,มีลิงก์หรือการชวนคลิกลิงก์; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
55,กดลิงก์รับเงินคืนค่าธรรมเนียมการศึกษา tu-form.example.invalid ✅,scam,refund_scam,0.88,short_message,X/Twitter,1,0,0,0,1,0,1,0,63,emoji,มีลิงก์หรือการชวนคลิกลิงก์; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
56,ใครเจอบัตรนักศึกษาที่ คณะวิทย์ ทักมาหน่อยครับ,normal,tu_general,0.23,short_message,Facebook Group,0,0,0,0,0,0,0,0,45,none,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
57,สมัครงานง่ายๆ ได้เงินเร็ว แต่ต้องจ่ายค่าสมัครก่อน now inbox ได้,suspicious,job_risk,0.51,thai_english_mix,TU Marketplace,0,0,0,0,1,1,0,1,63,thai_english_mix,มีคำเร่งเร้า; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีบริบทสมัครงาน/รายได้; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
58,ใครเจอบัตรนักศึกษาที่ โรงอาหารกลาง ทักมาหน่อยครับ ✅💬 inbox ได้,normal,tu_general,0.1,thai_english_mix,LINE,0,0,0,0,0,0,0,0,62,emoji,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
59,ของถูกมาก แต่ต้องจองภายในวันนี้ 🚨💸,suspicious,marketplace_risk,0.65,formal,IG DM,0,0,0,0,0,1,0,0,34,emoji,มีคำเร่งเร้า; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
60,ขายหนังสือ TU100 มือสอง นัดรับ BRT ได้ 🙏✅,normal,tu_marketplace,0.29,formal,TU Marketplace,0,0,0,0,0,0,0,0,41,emoji,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
61,สมัครงาน part-time online จ่ายค่าสมัครก่อน 1000 แล้วเริ่มงานได้เลย pls,scam,job_scam,0.85,slang,TU Marketplace,0,0,0,0,0,0,0,1,70,thai_english_mix,มีบริบทสมัครงาน/รายได้
62,job online รายได้สูง ไม่ต้องมีประสบการณ์ โอนค่าประกันก่อนเริ่มงาน inbox ได้,scam,job_scam,0.98,emoji,IG DM,0,0,0,0,1,0,0,1,75,none,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีบริบทสมัครงาน/รายได้
63,นัดรับหน้า หอสมุดป๋วย ได้ครับ สะดวกช่วงเย็น pls,normal,tu_marketplace,0.13,formal,IG DM,0,0,0,0,0,0,0,0,47,thai_english_mix,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
64,รับทุนการศึกษาเร่งด่วน กรอกข้อมูลและเลขบัญชีที่ forms.example.invalid/fake 📌✨,scam,fake_scholarship,0.84,emoji,LINE,1,0,1,0,1,1,1,0,77,emoji,มีลิงก์หรือการชวนคลิกลิงก์; มีคำเร่งเร้า; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
65,ของถูกมาก แต่ต้องจองภายในวันนี้ 💬⚠️,suspicious,marketplace_risk,0.7,emoji,LINE,0,0,0,0,0,1,0,0,35,emoji,มีคำเร่งเร้า; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
66,ไม่สะดวกนัดรับ  ขอส่งอย่างเดียว  โอนก่อนส่งนะ ส่งในกลุ่มได้เลย,suspicious,marketplace_risk,0.6,emoji,Web Form,0,0,0,0,1,0,0,0,62,spacing_noise,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
67,นัดรับหน้า คณะวิทย์ ได้ครับ สะดวกช่วงเย็น ⚠️🔥 inbox ได้,normal,tu_marketplace,0.15,formal,Discord,0,0,0,0,0,0,0,0,55,emoji,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
68,ไม่สะดวกนัดรับ ขอส่งอย่างเดียว โอนก่อนส่งนะ DM me inbox ได้,suspicious,marketplace_risk,0.51,casual,TU Marketplace,0,0,0,0,1,0,0,0,59,thai_english_mix,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
69,แอดมินคณะขอค่าจองสิทธิ์สอบ โอนมาที่ พร้อมเพย์ 08x-xxx-xxxx ภายในวันนี้ 😅,scam,tu_scam,0.96,casual,IG DM,0,1,1,0,1,1,0,0,72,emoji,มีคำเร่งเร้า; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
70,ทักไลน์อย่างเดียวครับ ไม่ค่อยตอบในกลุ่ม ok? inbox ได้,suspicious,marketplace_risk,0.54,casual,X/Twitter,0,0,0,0,0,0,0,0,53,thai_english_mix,มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
71,คุณได้รับสิทธิ์ทุนพิเศษ โอนค่าดำเนินการ 500 บาทก่อนรับทุน pls inbox ได้,scam,fake_scholarship,0.81,slang,Facebook Group,0,0,0,0,1,0,1,0,71,thai_english_mix,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
72,ของถูกมาก แต่ต้องจองภายในวันนี้ 😅🚨,suspicious,marketplace_risk,0.55,formal,X/Twitter,0,0,0,0,0,1,0,0,34,emoji,มีคำเร่งเร้า; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
73,นัดรับหน้า บร.2 ได้ครับ สะดวกช่วงเย็น 😅🙏,normal,tu_marketplace,0.17,thai_english_mix,X/Twitter,0,0,0,0,0,0,0,0,40,emoji,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
74,รับทุนการศึกษาเร่งด่วน กรอกข้อมูลและเลขบัญชีที่ [URL] pls,scam,fake_scholarship,0.86,short_message,Discord,1,0,1,0,1,1,1,0,57,thai_english_mix,มีลิงก์หรือการชวนคลิกลิงก์; มีคำเร่งเร้า; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
75,นัดรับหน้า บร.2 ได้ครับ สะดวกช่วงเย็น,normal,tu_marketplace,0.25,formal,Facebook Group,0,0,0,0,0,0,0,0,37,none,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
76,Your account has been suspended verify now example.invalid/verify DM me,scam,phishing,0.85,short_message,Email,1,0,0,1,0,1,0,0,71,thai_english_mix,พบคำเกี่ยวกับ OTP/ยืนยันตัวตน; มีลิงก์หรือการชวนคลิกลิงก์; มีคำเร่งเร้า
77,ขายหนังสือ CS251 มือสอง นัดรับ BRT ได้ 👍📌,normal,tu_marketplace,0.06,thai_english_mix,X/Twitter,0,0,0,0,0,0,0,0,41,emoji,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
78,เจ้าหน้าที่มหาลัยขอ username password เพื่อตรวจสอบสถานะ 🚨 inbox ได้,scam,impersonation,0.95,slang,X/Twitter,0,0,0,0,0,0,0,0,67,emoji,
79,ขอเลขบัญชีพร้อมเพย์หน่อยครับ จะโอนค่าชีท ⚠️,normal,tu_marketplace,0.1,casual,Discord,0,0,1,0,1,0,0,0,43,emoji,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
80,กรุณายืนยัน OTP เพื่อปลดล็อกบัญชีทันที 🙏💬,scam,otp,0.91,thai_english_mix,Discord,0,0,1,1,0,1,0,0,41,emoji,พบคำเกี่ยวกับ OTP/ยืนยันตัวตน; มีคำเร่งเร้า
81,รหัสยืนยันถูกส่งไปแล้ว กรุณาแจ้งรหัสภายใน 5 นาที 😅‼️,scam,otp,0.98,casual,LINE,0,0,0,1,0,1,0,0,52,emoji,พบคำเกี่ยวกับ OTP/ยืนยันตัวตน; มีคำเร่งเร้า
82,ใครเจอบัตรนักศึกษาที่ BRT ทักมาหน่อยครับ,normal,tu_general,0.2,thai_english_mix,Facebook Group,0,0,0,0,0,0,0,0,40,none,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
83,ไม่สะดวกนัดรับ ขอส่งอย่างเดียว โอนก่อนส่งนะ ASAP ส่งในกลุ่มได้เลย,suspicious,marketplace_risk,0.6,slang,Facebook Group,0,0,0,0,1,0,0,0,65,thai_english_mix,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
84,นัดรับหน้า SC3 ได้ครับ สะดวกช่วงเย็น 🥺✨,normal,tu_marketplace,0.07,emoji,Facebook Group,0,0,0,0,0,0,0,0,39,emoji,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
85,งานออนไลน์รายได้สูงมาก ไม่ต้องสัมภาษณ์ แค่ทักแชท 🚨📌,suspicious,job_risk,0.73,emoji,LINE,0,0,0,0,1,0,0,1,51,emoji,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีบริบทสมัครงาน/รายได้; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
86,ระบบแจ้งให้ยืนยันข้อมูลบางอย่างภายในวันนี้ pls,suspicious,phishing_risk,0.6,formal,LINE,0,0,0,0,0,1,0,0,46,thai_english_mix,มีคำเร่งเร้า; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
87,ขอแนวข้อสอบ CS254 หน่อยคับ,normal,tu_general,0.04,casual,X/Twitter,0,0,0,0,0,0,0,0,26,typo,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
88,รับทุนการศึกษาเร่งด่วน กรอกข้อมูลและเลขบัญชีที่ bit.ly/example_fake ‼️,scam,fake_scholarship,0.95,emoji,Facebook Group,1,0,1,0,1,1,1,0,70,emoji,มีลิงก์หรือการชวนคลิกลิงก์; มีคำเร่งเร้า; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
89,บัญชีคุณถูกระงับ กรุณายืนยันตัวตนทันทีที่ forms.example.invalid/fake ทัก DM,scam,phishing,0.9,thai_english_mix,TU Marketplace,1,0,1,1,0,1,0,0,75,none,พบคำเกี่ยวกับ OTP/ยืนยันตัวตน; มีลิงก์หรือการชวนคลิกลิงก์; มีคำเร่งเร้า
90,รับหิ้วของจากญี่ปุ่น สนใจทักได้ นัดรับได้ในมอ 📌🥺,normal,tu_general,0.11,short_message,TU Marketplace,0,0,0,0,0,0,0,0,48,emoji,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
91,รับซื้อเครื่องคิดเลขมือสอง ขอราคาไม่แรง DM me,normal,tu_marketplace,0.11,casual,SMS,0,0,0,0,0,0,0,0,45,thai_english_mix,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
92,หอพักแถวเชียงรากเดือนละไม่เกิน 5000 มีแนะนำไหม ASAP ส่งในกลุ่มได้เลย,normal,tu_general,0.19,short_message,LINE,0,0,0,0,0,0,0,0,68,thai_english_mix,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
93,ขอโอนเต็มก่อน เดี๋ยวส่งเลขพัสดุให้ 🚨✨,suspicious,marketplace_risk,0.69,casual,Facebook Group,0,0,0,0,1,0,0,0,37,emoji,มีบริบทเกี่ยวกับเงิน/โอน/บัญชี; มีสัญญาณเสี่ยงแต่หลักฐานยังไม่ชัด
94,หาคนช่วยงานอีเวนต์ในมอ มีรายละเอียดงานและสถานที่ชัดเจน ⚠️ ส่งในกลุ่มได้เลย,normal,tu_job_real,0.26,short_message,X/Twitter,0,0,0,0,0,0,0,1,74,emoji,มีบริบทสมัครงาน/รายได้; บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
95,แอดมินคณะขอค่าจองสิทธิ์สอบ โอนมาที่ พร้อมเพย์ 08x-xxx-xxxx ภายในวันนี้ 👍🔥,scam,tu_scam,0.96,formal,TU Marketplace,0,1,1,0,1,1,0,0,73,emoji,มีคำเร่งเร้า; มีบริบทเกี่ยวกับเงิน/โอน/บัญชี
96,รับหิ้วของจากญี่ปุ่น สนใจทักได้ นัดรับได้ในมอ 💬‼️,normal,tu_general,0.29,formal,X/Twitter,0,0,0,0,0,0,0,0,49,emoji,บริบททั่วไปหรือมีการนัดรับ/ตรวจสอบได้
