id,text,input_form_metadata_variant,verdict,category,needs_info,notes
C18,"งานออนไลน์ได้เงินวันละ 10,000 ไม่ต้องสัมภาษณ์ สมัครด่วน inbox ได้","direct · variant: ""ทัก DM""",danger,,,เข้าค่ายหลอกลวงชักชวนทำงานผิดกฎหมาย
C19,ร้านกาแฟแถวรังสิตรับพาร์ทไทม์ ชั่วโมงละ 70 บาท มีสัมภาษณ์หน้าร้าน ทัก DM,"direct · variant: ""inbox ได้""",safe,,,
C20,สมัครงานง่ายๆ ได้เงินเร็ว แต่ต้องจ่ายค่าสมัครก่อน ทัก DM,"direct · variant: ""line: @id""",caution,,,อาจหลอกลวงให้สมัครงานเพื่อเรียกเก็บค่าสมัคร
C21,ขอเลขบชพร้อมเพย์หน่อยคับ จะโอนค่าชีท,"direct · variant: ""ทัก DM"" / ""inbox ได้""",caution,,,อาจเป็นเพื่อนที่ให้ออกค่าชีทก่อนหน้า (ถ้าไม่ใช่อย่าให้ บช เด็ดขาด)
C22,ขอเลขบัญชีพร้อมเพย์หน่อยครับ จะโอนค่าชีท line: @id,direct · —,caution,,,อาจเป็นเพื่อนที่ให้ออกค่าชีทก่อนหน้า (ถ้าไม่ใช่อย่าให้ บช เด็ดขาด)
C23,มีใครขายชีท SC135 บ้างครับ line: @id,direct · —,safe,,,
C24,ขอโอนเต็มก่อน เดี๋ยวส่งเลขพัสดุให้,direct · — (= ผู้ขายไม่รู้จัก),caution,,seller_identity;seller_reputation,เช็คชื่อช่องทางติดต่อ ชื่อ บช ให้ดีว่าตรงกับผู้ขายไหมหากระบุตัวต้นได้ชื่อ บช ตรง มีการรีวิวจากคนอื่นอันนี้ปลอดภัย (แต่ถ้าไม่เข้าค่าย เสี่ยง!!)
C25,ของอยู่ต่างจังหวัด โอนก่อนส่งเท่านั้น ราคาพิเศษถึงวันนี้,"direct · — · variant: ""inbox ได้""",caution,,seller_reputation,เสี่ยง แต่หากมีเครดิตมีรีวิวจากคนอื่นน่าเชื่อถืออาจจะปลอดภัยแต่ก็มีความเสี่ยงอยู่
C26,รีบโอนก่อนนะ เหลือคนเดียวแล้ว,"direct · — · variant: ""ทัก DM""",danger,,,
C27,รีบโอนก่อนนะ เหลือคนเดียวแล้ว line: @id,direct · —,danger,,,
C28,มีคนจองหลายคน ถ้าเอาโอนมัดจำมาก่อนได้เลย ทัก DM,direct · —,caution,,,อาจจะให้โอนมัดจำกันลูกค้าบิด แต่เข้าค่ายเสี่ยงอยู่ดี
C29,โอนเต็มก่อนเท่านั้น ไม่รับนัด ไม่รับวิดีโอคอล inbox ได้,direct · —,danger,,,
C30,บัญชีนี้ของแฟนเราเอง ปลอดภัยแน่นอน โอนมาเลย,"direct · variant: ""inbox ได้""",caution,,,เข้าค่ายเสี่ยงอาจจะเป็นหน้าม้า ต้อวเช็คข้อมูลและตัวตนอีกฝ่ายให้ดี
C31,ทักไลน์อย่างเดียวคับ ไม่ค่อยตอบในกลุ่ม,direct · —,caution,,,อาจจะสะดวกตอบแต่ไลน์มากกว่า (แต่ไม่มีช่องทางติดต่อไลน์)
C32,ทักไลน์อย่างเดียวคับ ไม่ค่อยตอบในกลุ่ม line: @id,direct · —,safe,,,อาจจะสะดวกติดต่อไลน์มากกว่า
C33,มีคนขอรหัสยืนยัน บอกว่าเป็นแอดมินกลุ่ม,narrative · —,danger,,,รหัสยืนยันหากไม่ใช่เราเป็นคนทำรายการไม่ควรให้ผู้อื่นเด็ดขาด
C34,อ้างว่าเป็นรุ่นพี่คณะ ขอให้โอนเงินช่วยจองสิทธิ์,narrative · —,danger,,,
C35,รุ่นพี่ฝากบอกให้โอนค่าชีทด่วน ไม่งั้นหมดสิทธิ์,"direct (ส่งต่อคำสั่งถึงผู้อ่าน) · — · variant: ""ส่งในกลุ่มได้เลย""",caution,,,เราไม่ได้จ่ายค่าชีทก่อนหน้าจริงไหม
C36,แอดมินคณะขอค่าจองสิทธิ์สอบ โอนมาที่ พร้อมเพย์ 08x-xxx-xxxx ภายในวันนี้,direct · —,caution,,,เช็คให้ดีว่ามีค่าสอบจริงไหมและค่าสอบควรเก็บที่ แอดมินคณะจริงไหม
C37,แอดมินคณะขอค่าจองสิทธิ์สอบ โอนมาที่ บัญชี xxx123 ภายในวันนี้,direct · —,danger,,,ข้อความดูเร่งรีบให้โอนเงินโดยเร็ว
C38,มีลิงก์ให้กรอกข้อมูลเพื่อรับสิทธิ์ ลองเช็คก่อนนะ,"direct (ชวนผู้อ่าน; ""ลองเช็คก่อนนะ"" = คำกันเหนียว ไม่มีน้ำหนัก) · —",caution,,url,อาจเป็นลิ้งหลอกเก็บข้อมูลส่วนตัวควรระวัง
C38b,มีลิงก์รายละเอียดกิจกรรมส่งมาในกลุ่ม ลองดูนะ,direct · —,caution,,url,เช็คให้ดีลิ้งกิจกรรมกลุ่มมาจากคณะสาขาโดยตรงไหม
C39,ลด 90% วันนี้เท่านั้น bit.ly/xxxx,direct · —,danger,,,มีการให้กดลิ้งแปลกปลอม
