id,text,kaggle_category,NOT_SAFE (ใส่ x ถ้าไม่ปกติ),note
kaggle-tu-9dd6af86,วันนี้ห้องเรียน SC3 เปิดไหมครับ line: @fakeid,tu_general,,
kaggle-tu-a99f825b,ใครเจอบัตรนักศึกษาที่  โรงอาหารกลาง  ทักมาหน่อยครับ,tu_general,,
kaggle-tu-bc76b25b,มีใครขายชีท CS251 บ้างครับบบ ส่งในกลุ่มได้เลย,tu_general,,
kaggle-tu-3a65574b,ใครเจอบัตรนักศึกษาที่ โรงอาหารกลาง ทักมาหน่อยคับ,tu_general,,
kaggle-tu-1c5d0a79,ใครเจอบัตรนักศึกษาที่ SC3 ทักมาหน่อยคับ,tu_general,,
kaggle-tu-cc6056fe,ร้านกาแฟแถวรังสิตรับพาร์ทไทม์ ชั่วโมงละ 80 บาท มีสัมภาษณ์หน้าร้าน inbox ได้,tu_job_real,,
kaggle-tu-faa9c385,หาคนช่วยงานอีเวนต์ในมอ มีรายละเอียดงานและสถานที่ชัดเจน,tu_job_real,,
kaggle-tu-59a4e0aa,ร้านกาแฟแถวรังสิตรับพาร์ทไทม์ ชั่วโมงละ 70 บาท มีสัมภาษณ์หน้าร้าน ส่งในกลุ่มได้เลย,tu_job_real,,
kaggle-tu-059cbb3c,ร้านกาแฟแถวรังสิตรับพาร์ทไทม์ ชั่วโมงละ 50 บาท มีสัมภาษณ์หน้าร้าน 🙏,tu_job_real,,
kaggle-tu-3e6f3d5e,ร้านกาแฟแถวรังสิตรับพาร์ทไทม์ ชั่วโมงละ 60 บาท มีสัมภาษณ์หน้าร้าน ทัก DM,tu_job_real,,
kaggle-tu-c33a02f2,นัดรับหน้า โรงอาหารกลาง ได้คับ สะดวกช่วงเย็น,tu_marketplace,,
kaggle-tu-201cd768,ขายหนังสือ CS251 มือสอง นัดรับ BRT ได้,tu_marketplace,,
kaggle-tu-177a6b5f,ขายหนังสือ CS251 มือสอง นัดรับ หน้าโดม ได้ pls,tu_marketplace,,
kaggle-tu-45d5834b,ขายหนังสือ EL171 มือสอง นัดรับ หอสมุดป๋วย ได้,tu_marketplace,,
kaggle-tu-b042596e,ขอเลขบัญชีพร้อมเพย์หน่อยคับ จะโอนค่าชีท,tu_marketplace,,
kaggle-tu-eb4c8e9f,ขายหนังสือ SC135 มือสอง นัดรับ หอสมุดป๋วย ได้ verify pls,tu_marketplace,,
kaggle-tu-dbae22f7,ขายหนังสือ CS251 มือสอง นัดรับ โรงอาหารกลาง ได้,tu_marketplace,,
kaggle-tu-174a7dd3,ขายหนังสือ MA211 มือสอง นัดรับ โรงอาหารกลาง ได้,tu_marketplace,,
kaggle-tu-7e104af1,นัดรับหน้า บร.2 ได้ครับบบ สะดวกช่วงเย็น ส่งในกลุ่มได้เลย,tu_marketplace,,
kaggle-tu-3f752049,ขายหนังสือ SC135 มือสอง นัดรับ โรงอาหารกลาง ได้,tu_marketplace,,
kaggle-tu-d12ce44d,ขายหนังสือ MA211 มือสอง นัดรับ หอสมุดป๋วย ได้ ทัก DM,tu_marketplace,,
kaggle-tu-3263a477,โอนมัดจำค่าหอ 300 บาทได้ไหมครับ ทัก DM,tu_marketplace,,
kaggle-tu-24c5f3dc,ขายหนังสือ  SC135  มือสอง  นัดรับ  บร.2  ได้,tu_marketplace,,
kaggle-tu-fa67d23b,นัดรับหน้า หน้าโดม ได้ครับบบ สะดวกช่วงเย็น,tu_marketplace,,
kaggle-tu-58d611a0,นัดรับหน้า SC3 ได้ครับ สะดวกช่วงเย็น,tu_marketplace,,
kaggle-tu-36800487,ขายหนังสือ EL171 มือสอง นัดรับ ประตูเชียงราก ได้,tu_marketplace,,
kaggle-tu-deae823d,ขายหนังสือ CS332 มือสอง นัดรับ ประตูเชียงราก ได้,tu_marketplace,,
kaggle-tu-77f0b688,ขายหนังสือ CS251 มือสอง นัดรับ SC3 ได้,tu_marketplace,,
kaggle-tu-370c5071,ขายหนังสือ MA211 มือสอง นัดรับ คณะวิทย์ ได้,tu_marketplace,,
kaggle-tu-524e1cf4,ขายหนังสือ CS222 มือสอง นัดรับ โรงอาหารกลาง ได้ ok?,tu_marketplace,,
kaggle-tu-6ec178c5,นัดรับหน้า BRT ได้ครับ สะดวกช่วงเย็น,tu_marketplace,,
kaggle-tu-94fa64cb,ขายหนังสือ CS332 มือสอง นัดรับ หน้าโดม ได้ ASAP,tu_marketplace,,
kaggle-tu-2d769cf8,ขายหนังสือ CS222 มือสอง นัดรับ บร.2 ได้ ทัก DM,tu_marketplace,,
kaggle-tu-c037957a,นัดรับหน้า บร.2 ได้คับ สะดวกช่วงเย็น,tu_marketplace,,
kaggle-tu-15bb1d89,ขายหนังสือ CS222 มือสอง นัดรับ หน้าโดม ได้ ok?,tu_marketplace,,
kaggle-tu-ef460ff9,ส่งเลขบชมา เด๋วโอนค่าหนังสือให้ครับ,tu_marketplace,,
kaggle-tu-59a49434,นัดรับหน้า ประตูเชียงราก ได้คับ สะดวกช่วงเย็น,tu_marketplace,,
kaggle-tu-e2b83b46,ขายหนังสือ CS251 มือสอง นัดรับ บร.2 ได้ 🥺,tu_marketplace,,
kaggle-tu-adad0758,ขายหนังสือ CS254 มือสอง นัดรับ ประตูเชียงราก ได้,tu_marketplace,,
kaggle-tu-0caac15a,ขายหนังสือ CS254 มือสอง นัดรับ โรงอาหารกลาง ได้,tu_marketplace,,
kaggle-tu-f548c368,ส่งเลขบัญชีมา เด๋วโอนค่าหนังสือให้คับ,tu_marketplace,,
kaggle-tu-dc91dda2,ส่งเลขบชมา เด๋วโอนนค่าหนังสือให้คับ,tu_marketplace,,
kaggle-tu-01a6614e,โอนมัดจำค่าหอ 100 บาทได้ไหมครับ inbox ได้,tu_marketplace,,
kaggle-tu-e2ae4ab5,ขายหนังสือ CS332 มือสอง นัดรับ SC3 ได้ DM me,tu_marketplace,,
kaggle-tu-aafca68e,ขายหนังสือ MA211 มือสอง นัดรับ BRT ได้ ⚠️,tu_marketplace,,
kaggle-tu-c3569a51,โอนนมัดจำค่าหอ 100 บาทได้ไหมครับ,tu_marketplace,,
kaggle-tu-765e2f41,โอนมัดจำค่าหอ 200 บาทได้ไหมครับ,tu_marketplace,,
kaggle-tu-e4ef23bb,ขายหนังสือ CS332 มือสอง นัดรับ หอสมุดป๋วย ได้ 😅🚨,tu_marketplace,,
kaggle-tu-2246c338,ส่งเลขบัญชีมา เด๋วโอนนค่าหนังสือให้คับ,tu_marketplace,,
kaggle-tu-eb847a02,ขายหนังสือ  TU100  มือสอง  นัดรับ  บร.2  ได้,tu_marketplace,,
kaggle-tu-f6f985d8,ขายหนังสือ CS332 มือสอง นัดรับ บร.2 ได้,tu_marketplace,,
kaggle-tu-cdbba225,ขายหนังสือ EL171 มือสอง นัดรับ บร.2 ได้ line: @fakeid,tu_marketplace,,
kaggle-tu-80a428b6,ขายหนังสือ EL171 มือสอง นัดรับ คณะวิทย์ ได้ ส่งในกลุ่มได้เลย,tu_marketplace,,
kaggle-tu-9a1ba366,ขายหนังสือ EL171 มือสอง นัดรับ โรงอาหารกลาง ได้ inbox ได้,tu_marketplace,,
kaggle-tu-70081d18,ขายหนังสือ CS332 มือสอง นัดรับ คณะวิทย์ ได้,tu_marketplace,,
kaggle-tu-27a7ae83,ขายหนังสือ MA211 มือสอง นัดรับ บร.2 ได้,tu_marketplace,,
kaggle-tu-1a808a8c,ขายหนังสือ CS254 มือสอง นัดรับ หน้าโดม ได้,tu_marketplace,,
kaggle-tu-d7b98711,ขายหนังสือ CS222 มือสอง นัดรับ ประตูเชียงราก ได้ pls,tu_marketplace,,
kaggle-tu-12dbd49f,ขายหนังสือ SC135 มือสอง นัดรับ หน้าโดม ได้ ✨,tu_marketplace,,
kaggle-tu-aaa9b9c1,ขายหนังสือ CS254 มือสอง นัดรับ หอสมุดป๋วย ได้ now,tu_marketplace,,
kaggle-tu-9d5a3070,ขายหนังสือ CS332 มือสอง นัดรับ โรงอาหารกลาง ได้ 💸,tu_marketplace,,
kaggle-tu-3ef95c5d,ขายหนังสือ SC135 มือสอง นัดรับ SC3 ได้,tu_marketplace,,
kaggle-tu-45cbfdc9,ขายหนังสือ  CS222  มือสอง  นัดรับ  คณะวิทย์  ได้,tu_marketplace,,
kaggle-tu-e4f8b7b6,ส่งเลขบัญชีมา เด๋วโอนค่าหนังสือให้ครับ,tu_marketplace,,
kaggle-tu-0ba9a538,ขายหนังสือ  SC135  มือสอง  นัดรับ  BRT  ได้,tu_marketplace,,
kaggle-tu-28ae3f65,ขายหนังสือ TU100 มือสอง นัดรับ SC3 ได้ line: @fakeid,tu_marketplace,,
kaggle-tu-47426be4,ส่งเลขบชมา เดี๋ยวโอนนค่าหนังสือให้คับ,tu_marketplace,,
kaggle-tu-40ef78b1,ขาย iPad ใช้เรียน นัดรับในมอได้ เช็คของก่อนจ่าย line: @fakeid,tu_marketplace,,
kaggle-tu-05565786,โอนนมัดจำค่าหอ 500 บาทได้ไหมคับ,tu_marketplace,,
kaggle-tu-1dfcf116,ขายหนังสือ CS254 มือสอง นัดรับ BRT ได้,tu_marketplace,,
kaggle-tu-2825c653,โอนมัดจำค่าหอ 200 บาทได้ไหมครับบบ ส่งในกลุ่มได้เลย,tu_marketplace,,
kaggle-tu-cb02c9bf,ขายหนังสือ CS254 มือสอง นัดรับ SC3 ได้ 👍✅,tu_marketplace,,
kaggle-tu-1e93961f,นัดรับหน้า ประตูเชียงราก ได้ครับบบ สะดวกช่วงเย็น,tu_marketplace,,
kaggle-tu-9711e698,ขายหนังสือ CS254 มือสอง นัดรับ บร.2 ได้ 💬,tu_marketplace,,
kaggle-tu-811e287e,นัดรับหน้า หอสมุดป๋วย ได้ครับ สะดวกช่วงเย็น,tu_marketplace,,
kaggle-tu-379952f6,ขายหนังสือ CS222 มือสอง นัดรับ หอสมุดป๋วย ได้ ส่งในกลุ่มได้เลย,tu_marketplace,,
kaggle-tu-862960c6,โอนนมัดจำค่าหอ 1000 บาทได้ไหมคับ,tu_marketplace,,
kaggle-tu-a4505e6a,ขายหนังสือ TU100 มือสอง นัดรับ BRT ได้ 😅,tu_marketplace,,
kaggle-tu-2497fc2c,ส่งเลขบัญชีมา เดี๋ยวโอนค่าหนังสือให้ครับ,tu_marketplace,,
kaggle-tu-7ef887ee,นัดรับหน้า โรงอาหารกลาง ได้ครับ สะดวกช่วงเย็น,tu_marketplace,,
kaggle-tu-2a2c51fb,โอนมัดจำค่าหอ 1500 บาทได้ไหมครับ,tu_marketplace,,
kaggle-tu-10ca7778,นัดรับหน้า หน้าโดม ได้ครับ สะดวกช่วงเย็น line: @fakeid,tu_marketplace,,
kaggle-tu-f50ddc1e,นัดรับหน้า ประตูเชียงราก ได้ครับ สะดวกช่วงเย็น,tu_marketplace,,
kaggle-tu-399f0474,ขายหนังสือ CS332 มือสอง นัดรับ BRT ได้ 🔥,tu_marketplace,,
kaggle-tu-477cd878,รับซื้อเครื่องคิดเลขมือสอง ขอราคาไม่แรง inbox ได้,tu_marketplace,,
kaggle-tu-9d0e02f3,ขายหนังสือ MA211 มือสอง นัดรับ หน้าโดม ได้,tu_marketplace,,
kaggle-tu-51f81bbc,นัดรับหน้า คณะวิทย์ ได้ครับบบ สะดวกช่วงเย็น,tu_marketplace,,
kaggle-tu-c89eb63f,ขายหนังสือ EL171 มือสอง นัดรับ หน้าโดม ได้ line: @fakeid,tu_marketplace,,
kaggle-tu-a4844b40,นัดรับหน้า บร.2 ได้ครับ สะดวกช่วงเย็น,tu_marketplace,,
kaggle-tu-fee1e157,ขายหนังสือ TU100 มือสอง นัดรับ ประตูเชียงราก ได้ 👍😅,tu_marketplace,,
kaggle-tu-41ec1ccd,ขายหนังสือ MA211 มือสอง นัดรับ ประตูเชียงราก ได้ DM me,tu_marketplace,,
kaggle-tu-0e90c476,ขายหนังสือ TU100 มือสอง นัดรับ โรงอาหารกลาง ได้,tu_marketplace,,
kaggle-tu-26212e7a,โอนมัดจำค่าหอ 1000 บาทได้ไหมครับ inbox ได้,tu_marketplace,,
kaggle-tu-4c08c582,ขายหนังสือ SC135 มือสอง นัดรับ คณะวิทย์ ได้,tu_marketplace,,
kaggle-tu-3474778a,ขายหนังสือ TU100 มือสอง นัดรับ หน้าโดม ได้,tu_marketplace,,
kaggle-tu-e8913564,ขายหนังสือ CS222 มือสอง นัดรับ SC3 ได้,tu_marketplace,,
kaggle-tu-288c4b50,ขายหนังสือ TU100 มือสอง นัดรับ หอสมุดป๋วย ได้ ส่งในกลุ่มได้เลย,tu_marketplace,,
kaggle-tu-b22058d1,โอนมัดจำค่าหอ 1500 บาทได้ไหมครับบบ,tu_marketplace,,
kaggle-tu-353de762,นัดรับหน้า คณะวิทย์ ได้คับ สะดวกช่วงเย็น,tu_marketplace,,
kaggle-tu-4a612d97,ส่งเลขบชมา เด๋วโอนนค่าหนังสือให้ครับ,tu_marketplace,,
kaggle-tu-c33fb710,ขายหนังสือ CS251 มือสอง นัดรับ คณะวิทย์ ได้ ‼️ ส่งในกลุ่มได้เลย,tu_marketplace,,
kaggle-tu-5d276e8e,ส่งเลขบชมา เดี๋ยวโอนค่าหนังสือให้คับ,tu_marketplace,,
kaggle-tu-567f8dbc,โอนนมัดจำค่าหอ 300 บาทได้ไหมคับ,tu_marketplace,,
kaggle-tu-52faa1dc,โอนนมัดจำค่าหอ 200 บาทได้ไหมคับ,tu_marketplace,,
kaggle-tu-7279ee6b,ขายหนังสือ CS251 มือสอง นัดรับ ประตูเชียงราก ได้,tu_marketplace,,
kaggle-tu-cb6658c6,ขายหนังสือ CS251 มือสอง นัดรับ หอสมุดป๋วย ได้,tu_marketplace,,
kaggle-tu-33be5f0e,นัดรับหน้า คณะวิทย์ ได้ครับ สะดวกช่วงเย็น,tu_marketplace,,
